City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
443,Itarema,BR,86.18,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
444,Lasa,IT,78.71,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
448,Fayaoue,NC,75.15,broken clouds,-20.65,166.5333,Chez Dydyce Guesthouse
449,Puerto Del Rosario,ES,76.68,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
451,Zhanakorgan,KZ,83.26,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
453,Alvinopolis,BR,75.6,few clouds,-20.1067,-43.0489,Hotel São Geraldo
464,Pontian Kecil,MY,78.93,overcast clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
465,Dicabisagan,PH,76.98,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
466,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Mini Hotel Central
467,Sokoni,TZ,76.87,few clouds,-6.4333,39.55,Ujamaa Beach Resort
471,Edea,CM,77.36,light rain,3.8,10.1333,Micotel Hotel
480,Rey Bouba,CM,82.9,light rain,8.6724,14.1786,
486,Impfondo,CG,77.25,broken clouds,1.6381,18.0667,Auberge La Place de Jules
492,Constantine,DZ,83.37,few clouds,36.365,6.6147,Grand Hotel Cirta
497,Hobyo,SO,78.19,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
499,Kontagora,NG,84.04,overcast clouds,10.3999,5.4695,Queens Guest Inn
502,Fare,PF,80.29,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
505,Alferrarede,PT,80.98,broken clouds,39.4833,-8.1667,Hotel Conforto Latino
507,Sarakhs,IR,87.12,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
508,Komsomolskiy,UZ,83.62,clear sky,40.4272,71.7189,Ikathouse
511,Yazd,IR,87.4,clear sky,31.8972,54.3675,Mozaffar Traditional Hotel
512,Sudogda,RU,78.1,broken clouds,55.9539,40.8629,Барский луг
516,Maragogi,BR,77.68,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
517,Kadnikov,RU,76.15,broken clouds,59.5022,40.338,Zolotaya Milya
521,Tual,ID,81.34,few clouds,-5.6667,132.75,Grand Vilia Hotel
522,Ottumwa,US,77.95,broken clouds,41.02,-92.4113,Hampton Inn Ottumwa
526,Marivan,IR,78.13,clear sky,35.5219,46.176,Teacher's House
527,Dubovskoye,RU,81.48,clear sky,47.4092,42.7575,Anzhi
528,Kilindoni,TZ,77.29,clear sky,-7.9139,39.6668,Bustani B&B
529,Osecina,RS,83.01,clear sky,44.3731,19.6014,Guest House Tesanovic
530,Salalah,OM,80.69,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
535,Rosarito,MX,82.98,scattered clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
539,Natal,BR,86.65,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
542,Kailahun,SL,76.82,moderate rain,8.2833,-10.5667,MAWAC Guesthouse
545,Ahuimanu,US,78.51,light rain,21.4447,-157.8378,Paradise Bay Resort
549,Merauke,ID,76.03,scattered clouds,-8.4667,140.3333,
551,Bay Saint Louis,US,87.89,broken clouds,30.3088,-89.33,The Abode Guest House
557,Muisne,EC,82.51,broken clouds,0.6,-80.0333,Quinta Samay
559,Sal Rei,CV,79.36,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
560,Veracruz,MX,77.27,overcast clouds,19.3333,-96.6667,El Carrizal
561,Darnah,LY,83.98,clear sky,32.766999999999996,22.6367,فندق الفردوس
562,Bandarbeyla,SO,77.77,broken clouds,9.4942,50.8122,JABIR HOTEL
564,Tuy Hoa,VN,78.53,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
568,Boliqueime,PT,75.72,clear sky,37.1372,-8.1582,Hotel São Sebastião de Boliqueime
572,Tevaitoa,PF,80.46,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
573,Indianola,US,79.88,broken clouds,41.3581,-93.5574,Quality Inn Indianola
575,Zheleznodorozhnyy,RU,78.98,scattered clouds,55.7503,38.0042,Hotel Dali
578,Frutal,BR,86.09,clear sky,-20.0247,-48.9406,Hotel Recanto Dos Ipês
579,Rinconada,MX,80.65,overcast clouds,19.35,-96.5167,Hotel Puente Nacional
580,Kitimat,CA,87.82,clear sky,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
587,Ceyranbatan,AZ,78.51,clear sky,40.5408,49.6597,Summer Garden Sumgait
588,Macenta,GN,85.24,scattered clouds,8.5435,-9.471,Hôtel Yansané
589,San Policarpo,PH,81.37,broken clouds,12.1791,125.5072,JM Lodge
590,Dwarka,IN,84.65,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
594,Ha Tinh,VN,85.98,overcast clouds,18.3333,105.9,Phú Quý
603,Nijar,ES,86.88,clear sky,36.9665,-2.206,La Casa del Cine
604,Tiznit,MA,78.78,clear sky,29.5833,-9.5,
606,Polson,US,82.11,clear sky,47.6936,-114.1632,Americas Best Value Port Polson Inn
607,Turkistan,KZ,83.97,clear sky,43.0,68.0,
610,Bac Lieu,VN,82.98,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
617,Vokhma,RU,75.69,broken clouds,58.9303,46.7586,"Gostinitsa ""Yelki-Palki"""
619,Eyl,SO,78.71,scattered clouds,7.9803,49.8164,Amiin Hotel
621,Livenka,RU,78.15,overcast clouds,50.4491,38.2959,
622,Erenhot,CN,75.29,scattered clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
624,Sorong,ID,77.34,light rain,-0.8833,131.25,waigo splash hotel
632,Birao,CF,76.59,overcast clouds,10.2849,22.7882,
634,Mbanza-Ngungu,CD,77.94,scattered clouds,-5.25,14.8667,Hotel Full Business
638,Vila Velha,BR,76.95,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
644,Sol-Iletsk,RU,75.79,broken clouds,51.1631,54.9918,Raduzhnaya
645,Anamur,TR,87.82,few clouds,36.0751,32.8369,Luna Piena Beach Hotel
647,Mackenzie,CA,85.39,clear sky,55.2999,-123.1698,Hilton Shop
648,Lincoln,US,81.28,scattered clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
651,Palauig,PH,81.18,overcast clouds,15.435,119.9045,Myhousebythesea
654,Morgan City,US,83.03,few clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
655,Cockburn Town,TC,81.45,clear sky,21.4612,-71.1419,Osprey Beach Hotel
660,Chum Phae,TH,78.42,overcast clouds,16.5443,102.0992,Major Grand
661,Wewak,PG,78.87,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
664,Maumere,ID,78.57,overcast clouds,-8.6199,122.2111,Sylvia Hotel
665,Luganville,VU,76.17,broken clouds,-15.5333,167.1667,The Espiritu Hotel
672,Inongo,CD,77.16,broken clouds,-1.95,18.2667,Hotel Du Lac
677,Deming,US,85.24,clear sky,32.2687,-107.7586,Best Western Deming Southwest Inn
681,Ilinskiy,RU,79.14,clear sky,55.619,38.1182,Around the world
684,Ranong,TH,79.92,scattered clouds,9.9658,98.6348,Tinidee Hotel@Ranong
686,Donskoye,RU,82.53,broken clouds,45.4552,41.9741,
687,Pyapon,MM,80.17,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
690,Bhadrachalam,IN,84.81,overcast clouds,17.6667,80.8833,Hotel Srinidhi Residency
