City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
156,Bluff,NZ,-46.6,168.3333,41.81,65,99,33.31,overcast clouds
157,Mount Gambier,AU,-37.8333,140.7667,42.71,100,1,5.75,clear sky
158,Oktyabrskoye,RU,43.0645,44.7417,75.34,78,40,6.71,scattered clouds
159,Kurilsk,RU,45.2333,147.8833,49.42,94,58,5.26,broken clouds
160,Kavaratti,IN,10.5669,72.642,81.86,79,90,15.61,overcast clouds
161,Bathsheba,BB,13.2167,-59.5167,88.41,55,40,20.71,scattered clouds
162,Abu Samrah,SY,35.3029,37.1841,90.75,27,0,13.44,clear sky
163,Touros,BR,-5.1989,-35.4608,86.9,62,27,19.1,scattered clouds
164,Codrington,AU,-38.2667,141.9667,44.02,90,0,6.87,clear sky
165,Staryy Nadym,RU,65.6118,72.6842,55.56,53,88,11.9,overcast clouds
166,Ferrol,ES,43.4832,-8.2369,65.35,70,45,15.05,scattered clouds
167,Conceicao Do Araguaia,BR,-8.2578,-49.2647,94.96,23,0,4.76,clear sky
168,Dalby,AU,-27.1833,151.2667,47.95,85,0,8.5,clear sky
169,Kamennogorsk,RU,60.9545,29.1339,74.21,69,100,5.06,overcast clouds
170,Qaanaaq,GL,77.484,-69.3632,38.66,81,98,2.26,overcast clouds
171,Sarkand,KZ,45.41,79.9186,59.22,44,42,6.33,scattered clouds
172,Alofi,NU,-19.0595,-169.9187,75.38,59,32,25.64,scattered clouds
173,Baft,IR,29.234,56.6057,73.92,8,5,8.79,clear sky
174,Wanaka,NZ,-44.7,169.15,42.12,99,92,1.99,overcast clouds
175,Lebu,CL,-37.6167,-73.65,50.29,54,0,11.65,clear sky
176,Arraial Do Cabo,BR,-22.9661,-42.0278,80.46,54,0,17.27,clear sky
177,College,US,64.8569,-147.8028,63.21,68,40,9.22,light rain
178,Capreol,CA,46.706,-80.9225,70.56,97,90,14.97,light rain
179,Kaya,BF,13.0917,-1.0844,97.75,29,9,3.2,clear sky
180,Leningradskiy,RU,69.3833,178.4167,42.58,77,93,2.86,overcast clouds
181,Angoche,MZ,-16.2325,39.9086,73.54,69,29,9.13,scattered clouds
182,Dhidhdhoo,MV,6.8833,73.1,82.76,74,100,11.9,overcast clouds
183,Portobelo,PA,9.55,-79.65,88.61,77,82,4.38,broken clouds
184,Labytnangi,RU,66.6572,66.4183,53.08,73,70,12.19,broken clouds
185,Padang,ID,-0.9492,100.3543,75.25,89,99,3.89,overcast clouds
186,Del Carmen,PH,9.8694,125.9697,81.91,74,100,5.99,overcast clouds
187,Yerbogachen,RU,61.2767,108.0108,52.34,78,83,5.95,broken clouds
188,Castro,BR,-24.7911,-50.0119,70.39,53,29,11.48,scattered clouds
189,Tautira,PF,-17.7333,-149.15,75.22,78,44,6.8,scattered clouds
190,Clarence Town,AU,-32.5833,151.7833,50.81,75,19,3.09,few clouds
191,Rio Bonito,BR,-22.7086,-42.6097,81.61,51,0,2.91,clear sky
192,Syracuse,IT,37.0881,15.2792,98.65,59,38,7.07,scattered clouds
193,Keti Bandar,PK,24.1447,67.4497,84.0,72,21,14.94,few clouds
194,Port Elizabeth,ZA,-33.918,25.5701,59.29,44,0,3.44,clear sky
195,Kiama,AU,-34.6833,150.8667,48.45,81,44,1.99,scattered clouds
196,Tahoua,NE,14.8888,5.2692,101.43,21,0,8.86,clear sky
197,Gusau,NG,12.1628,6.6614,91.63,38,52,12.55,broken clouds
198,Taoudenni,ML,22.6783,-3.9836,117.05,5,17,8.97,few clouds
199,Thinadhoo,MV,0.5333,72.9333,82.76,71,97,5.61,overcast clouds
200,Barbalha,BR,-7.3111,-39.3042,88.7,29,46,9.51,scattered clouds
201,Makakilo City,US,21.3469,-158.0858,77.32,72,20,3.44,light rain
202,Neryungri,RU,56.6709,124.6491,57.15,88,36,2.3,scattered clouds
203,Naze,JP,28.3667,129.4833,75.65,92,100,18.14,moderate rain
204,Bonnyville,CA,54.2668,-110.735,73.99,54,71,1.63,broken clouds
205,Almaznyy,RU,48.0448,40.045,77.14,78,72,6.76,broken clouds
206,Vardo,NO,70.3705,31.1107,60.55,77,0,10.36,clear sky
207,Sudak,UA,44.85,34.9667,75.22,82,28,4.54,scattered clouds
208,Baker City,US,44.7749,-117.8344,87.93,37,1,11.5,clear sky
209,Kallithea,GR,37.95,23.7,94.32,42,0,5.01,clear sky
210,Lowestoft,GB,52.4752,1.7516,68.92,83,26,19.08,scattered clouds
211,Coahuayana,MX,18.7333,-103.6833,78.28,98,100,6.35,overcast clouds
212,Lorengau,PG,-2.0226,147.2712,80.62,80,89,5.37,overcast clouds
213,Kumluca,TR,36.3703,30.2869,86.67,48,0,4.88,clear sky
214,Hirara,JP,24.8,125.2833,83.39,84,100,28.92,overcast clouds
215,Beloha,MG,-25.1667,45.05,64.58,91,0,5.59,clear sky
216,Praia,CV,14.9215,-23.5087,86.54,51,0,13.8,clear sky
217,Sola,VU,-13.8833,167.55,79.99,69,100,17.36,overcast clouds
218,Nanortalik,GL,60.1432,-45.2371,48.79,85,80,10.63,broken clouds
219,Kampot,KH,10.6167,104.1833,78.85,85,43,6.93,scattered clouds
220,Mercedes,AR,-34.6515,-59.4307,45.18,95,100,13.38,overcast clouds
221,Byron Bay,AU,-28.65,153.6167,57.15,77,12,9.33,few clouds
222,Axim,GH,4.8699,-2.2405,79.54,76,86,7.49,overcast clouds
223,Richards Bay,ZA,-28.783,32.0377,67.3,69,4,13.76,clear sky
224,Taungdwingyi,MM,20.0167,95.55,80.04,81,100,7.11,overcast clouds
225,Bezenchuk,RU,52.982,49.4333,77.99,64,15,4.59,few clouds
226,Ribeira Grande,PT,38.5167,-28.7,72.0,83,40,5.75,scattered clouds
227,Redlands,US,34.0556,-117.1825,107.87,24,1,3.44,clear sky
228,Pisco,PE,-13.7,-76.2167,66.02,77,90,6.91,overcast clouds
229,Pokaran,IN,26.9167,71.9167,93.43,38,30,16.11,scattered clouds
230,Tromso,NO,69.6496,18.957,57.85,50,40,28.77,scattered clouds
231,Bjornevatn,NO,69.6672,29.9847,59.34,72,75,11.5,broken clouds
232,Chokurdakh,RU,70.6333,147.9167,43.11,72,50,10.27,scattered clouds
233,Grand-Santi,GF,4.25,-54.3833,91.22,44,17,3.4,few clouds
234,Fortuna,US,40.5982,-124.1573,63.52,83,1,6.91,clear sky
235,Obidos,BR,-1.9175,-55.5181,91.6,43,8,5.79,clear sky
236,Mersing,MY,2.4312,103.8405,78.55,84,100,0.6,light rain
237,Micheweni,TZ,-4.9667,39.8333,75.4,79,7,10.96,clear sky
238,Gat,IL,31.61,34.7642,85.41,47,0,9.13,clear sky
239,Meulaboh,ID,4.1363,96.1285,77.38,86,94,3.04,overcast clouds
240,Kupang,ID,-10.1667,123.5833,77.86,79,61,13.33,broken clouds
241,Yar-Sale,RU,66.8333,70.8333,52.72,57,100,5.86,overcast clouds
242,Nikolskoye,RU,59.7035,30.7861,73.29,69,100,5.41,overcast clouds
243,Birjand,IR,32.8663,59.2211,77.09,12,0,7.81,clear sky
244,Sabang,ID,5.8933,95.3214,83.07,73,32,14.2,scattered clouds
245,Kavieng,PG,-2.5744,150.7967,80.73,78,100,5.03,light rain
246,Mirosi,RO,44.4167,24.9333,73.94,72,16,13.82,few clouds
247,Carnarvon,AU,-24.8667,113.6333,57.27,64,33,5.75,scattered clouds
248,Iskateley,RU,67.6803,53.1512,53.38,56,99,9.42,overcast clouds
249,Waipawa,NZ,-41.4122,175.5153,55.02,77,5,21.83,clear sky
250,Provideniya,RU,64.3833,-173.3,48.33,82,42,2.57,scattered clouds
251,Coihaique,CL,-45.5752,-72.0662,32.61,86,75,3.44,broken clouds
252,Rafraf,TN,37.1904,10.1837,84.51,65,68,16.2,broken clouds
253,Medianeira,BR,-25.2953,-54.0939,54.45,95,100,7.29,overcast clouds
254,Aban,RU,56.67,96.06,52.02,83,84,4.34,broken clouds
255,Santa Maria Del Oro,MX,25.9333,-105.3667,85.21,23,47,4.18,scattered clouds
256,Voskresenskoye,RU,56.8381,45.4317,75.38,71,87,2.75,overcast clouds
257,Vinstra,NO,61.5952,9.7523,73.0,56,94,8.21,overcast clouds
258,Concordia,AR,-31.393,-58.0209,51.87,55,40,11.01,scattered clouds
259,Luba,GQ,3.4568,8.5547,78.96,80,100,6.44,overcast clouds
260,Burns Lake,CA,54.2331,-125.7533,85.01,43,0,2.39,clear sky
261,Swan River,CA,52.1058,-101.2676,69.66,72,37,10.13,scattered clouds
262,Rincon,US,32.296,-81.2354,88.25,62,75,1.01,broken clouds
263,Fairbanks,US,64.8378,-147.7164,63.23,67,1,3.0,light rain
264,Annau,TM,37.8876,58.516,90.9,15,0,6.91,clear sky
265,Vilhena,BR,-12.7406,-60.1458,84.06,47,24,1.05,few clouds
266,Kapit,MY,2.0167,112.9333,73.22,99,96,0.83,light rain
267,Ambon,ID,-3.6954,128.1814,75.34,94,40,9.22,scattered clouds
268,Frome,GB,51.2283,-2.3221,66.61,88,100,7.34,overcast clouds
269,Tabas,IR,33.5959,56.9244,91.96,8,0,10.25,clear sky
270,Banepa,NP,27.6298,85.5214,67.51,92,85,1.43,overcast clouds
271,Mandalgovi,MN,45.7625,106.2708,74.91,27,97,9.42,overcast clouds
272,Matagami,CA,49.7502,-77.6328,61.0,98,100,6.49,heavy intensity rain
273,Ketchikan,US,55.3422,-131.6461,73.33,68,2,6.11,clear sky
274,Kruisfontein,ZA,-34.0033,24.7314,57.07,31,35,5.19,scattered clouds
