City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
126,Leshukonskoye,RU,2021-06-13 16:57:15,64.8989,45.7622,70.32,45,83,7.54
127,Ayagoz,KZ,2021-06-13 16:57:15,47.9714,80.4392,47.68,63,24,4.63
128,Vestmannaeyjar,IS,2021-06-13 16:57:16,63.4427,-20.2734,45.59,81,75,25.32
129,Klaeng,TH,2021-06-13 16:57:16,12.7797,101.6483,84.13,95,100,5.12
130,Zhigansk,RU,2021-06-13 16:57:16,66.7697,123.3711,50.76,78,96,7.78
131,Yafran,LY,2021-06-13 16:57:16,32.0633,12.5286,76.55,28,2,15.59
132,Kudahuvadhoo,MV,2021-06-13 16:57:17,2.6708,72.8944,82.71,75,47,13.4
133,Sisimiut,GL,2021-06-13 16:57:17,66.9395,-53.6735,37.45,79,100,5.68
134,East London,ZA,2021-06-13 16:57:17,-33.0153,27.9116,65.34,94,0,6.91
135,Castro,BR,2021-06-13 16:57:18,-24.7911,-50.0119,64.58,51,0,4.54
136,Moindou,NC,2021-06-13 16:57:18,-21.6924,165.677,62.55,79,52,2.62
137,Mount Isa,AU,2021-06-13 16:57:19,-20.7333,139.5,51.57,35,79,3.44
138,Kaitangata,NZ,2021-06-13 16:57:19,-46.2817,169.8464,51.64,98,100,9.62
139,Mar Del Plata,AR,2021-06-13 16:57:19,-38.0023,-57.5575,68.09,81,20,8.99
140,Safford,US,2021-06-13 16:57:19,32.834,-109.7076,101.07,6,57,2.91
141,Khao Yoi,TH,2021-06-13 16:57:20,13.2403,99.8243,77.92,72,100,4.59
142,Ostrovnoy,RU,2021-06-13 16:57:20,68.0531,39.5131,69.84,45,72,16.87
143,Lavrentiya,RU,2021-06-13 16:57:20,65.5833,-171.0,35.24,95,100,8.32
144,Gushikawa,JP,2021-06-13 16:57:21,26.3544,127.8686,78.39,94,90,13.8
145,Castries,LC,2021-06-13 16:57:21,13.9957,-61.0061,84.33,70,40,10.36
146,Saint Anthony,US,2021-06-13 16:57:21,45.0205,-93.218,87.94,31,38,1.99
147,Constitucion,CL,2021-06-13 16:57:22,-35.3333,-72.4167,61.09,76,100,7.83
148,Penol,CO,2021-06-13 16:57:22,6.2183,-75.243,68.09,50,90,5.14
149,Fez,MA,2021-06-13 16:57:22,34.0372,-4.9998,88.05,32,20,10.36
150,Muros,ES,2021-06-13 16:57:22,42.7762,-9.0603,73.83,60,72,2.55
151,Cherskiy,RU,2021-06-13 16:57:23,68.75,161.3,53.6,53,100,4.72
152,Maragogi,BR,2021-06-13 16:52:39,-9.0122,-35.2225,79.92,73,74,7.96
153,Annau,TM,2021-06-13 16:57:23,37.8876,58.516,94.5,24,0,6.91
154,Santa Cruz Cabralia,BR,2021-06-13 16:57:23,-16.2781,-39.0247,77.23,69,75,8.05
155,Kurchum,KZ,2021-06-13 16:57:24,48.5722,83.6542,51.82,70,7,6.4
156,Salalah,OM,2021-06-13 16:57:24,17.0151,54.0924,84.0,79,41,6.02
157,Dikson,RU,2021-06-13 16:57:24,73.5069,80.5464,33.3,99,100,11.36
158,Havre-Saint-Pierre,CA,2021-06-13 16:57:25,50.2334,-63.5986,53.96,50,90,19.57
159,Nyaunglebin,MM,2021-06-13 16:57:25,17.95,96.7333,74.1,94,100,6.51
160,Patiya,BD,2021-06-13 16:57:25,22.2931,91.9762,81.01,82,77,10.47
161,Moscow,RU,2021-06-13 16:52:42,55.7522,37.6156,73.83,67,79,4.97
162,Solnechnyy,RU,2021-06-13 16:57:26,50.7214,136.6319,43.88,89,15,4.36
163,Ilhabela,BR,2021-06-13 16:57:26,-23.7781,-45.3581,69.08,61,37,5.26
164,Beringovskiy,RU,2021-06-13 16:57:26,63.05,179.3167,33.91,99,100,12.82
165,Nacala,MZ,2021-06-13 16:55:06,-14.5428,40.6728,69.55,76,2,6.87
166,Palmer,US,2021-06-13 16:57:27,42.1584,-72.3287,82.71,47,24,1.01
167,Baiyin,CN,2021-06-13 16:57:27,36.5583,104.2081,63.48,59,100,18.88
168,Goderich,CA,2021-06-13 16:57:27,43.7501,-81.7165,78.03,72,84,11.5
169,Mulege,MX,2021-06-13 16:57:28,26.8833,-111.9833,90.09,38,16,9.55
170,Saint-Pierre,RE,2021-06-13 16:57:28,-21.3393,55.4781,73.04,78,0,6.91
171,Beli Potok,RS,2021-06-13 16:57:29,44.7061,20.5197,70.38,19,7,12.8
172,Kenai,US,2021-06-13 16:57:29,60.5544,-151.2583,60.03,70,16,10.11
173,Cervo,ES,2021-06-13 16:57:29,43.6702,-7.4101,65.97,95,46,4.59
174,Qaqortoq,GL,2021-06-13 16:57:30,60.7167,-46.0333,40.48,80,72,8.37
175,Airai,TL,2021-06-13 16:57:30,-8.9266,125.4092,57.42,92,81,1.95
176,Okhotsk,RU,2021-06-13 16:57:30,59.3833,143.3,44.85,75,40,7.78
177,Lata,PT,2021-06-13 16:57:31,40.1629,-8.3327,81.05,77,94,5.41
178,Sambava,MG,2021-06-13 16:57:31,-14.2667,50.1667,73.53,86,17,1.88
179,Florence,IT,2021-06-13 16:57:27,43.7667,11.25,86.74,53,0,9.22
180,Quatre Cocos,MU,2021-06-13 16:57:31,-20.2078,57.7625,75.31,74,49,16.53
181,Ponta Do Sol,PT,2021-06-13 16:57:32,32.6667,-17.1,75.0,74,57,4.94
182,Pahrump,US,2021-06-13 16:57:32,36.2083,-115.9839,97.25,10,25,1.01
183,Bogovarovo,RU,2021-06-13 16:57:32,58.9785,47.0246,64.0,93,56,5.17
184,Rock Springs,US,2021-06-13 16:57:33,41.5875,-109.2029,83.23,23,0,1.01
185,Aksakovo,BG,2021-06-13 16:57:33,43.25,27.8167,62.4,93,75,6.91
186,Whitianga,NZ,2021-06-13 16:57:33,-36.8333,175.7,61.02,95,97,5.88
187,Estevan,CA,2021-06-13 16:57:34,49.1334,-102.9842,72.21,49,1,5.75
188,Linxia,CN,2021-06-13 16:57:34,35.6003,103.2064,57.81,92,100,4.47
189,Banjar,ID,2021-06-13 16:57:34,-8.19,114.9675,80.46,90,82,2.91
190,Sigli,ID,2021-06-13 16:57:35,5.3848,95.9609,78.94,83,79,4.27
191,Touros,BR,2021-06-13 16:57:35,-5.1989,-35.4608,88.7,61,84,13.78
192,Talavera De La Reina,ES,2021-06-13 16:57:35,39.9635,-4.8308,89.62,21,41,3.67
193,Heers,BE,2021-06-13 16:57:36,50.75,5.3,76.3,40,0,5.75
194,Starodub,RU,2021-06-13 16:57:36,52.5844,32.7633,63.41,92,68,8.12
195,Collie,AU,2021-06-13 16:57:36,-33.3667,116.15,54.99,69,45,10.58
196,Kantang,TH,2021-06-13 16:57:37,7.4054,99.5156,78.12,87,100,2.93
197,Togul,RU,2021-06-13 16:57:37,53.465,85.9128,54.61,87,98,4.18
198,Bathsheba,BB,2021-06-13 16:57:37,13.2167,-59.5167,88.41,55,75,23.02
199,Bilibino,RU,2021-06-13 16:57:38,68.0546,166.4372,51.76,52,93,2.19
200,Omsukchan,RU,2021-06-13 16:57:38,62.5333,155.8,43.84,66,84,6.87
201,Soe,ID,2021-06-13 16:57:38,-9.8607,124.284,62.42,92,74,4.12
202,Cidreira,BR,2021-06-13 16:57:39,-30.1811,-50.2056,64.76,57,0,6.08
203,Jiangkou,CN,2021-06-13 16:57:39,25.4872,119.1986,82.29,90,100,9.1
204,Albi,FR,2021-06-13 16:57:39,43.9298,2.148,90.1,48,3,6.53
205,Krasnoselkup,RU,2021-06-13 16:57:40,65.7,82.4667,52.05,54,69,8.99
206,Port Elizabeth,ZA,2021-06-13 16:54:15,-33.918,25.5701,64.09,88,0,26.46
207,Sombrerete,MX,2021-06-13 16:57:40,23.6333,-103.65,69.06,43,99,16.02
208,Port Hardy,CA,2021-06-13 16:57:40,50.6996,-127.4199,57.38,88,90,21.85
209,Ngorongoro,TZ,2021-06-13 16:57:41,-3.2397,35.4875,52.74,76,24,4.03
210,Hay River,CA,2021-06-13 16:57:41,60.8156,-115.7999,67.98,49,20,2.3
211,Salsomaggiore Terme,IT,2021-06-13 16:57:41,44.8148,9.9796,88.92,65,0,4.83
212,Lander,US,2021-06-13 16:57:41,42.833,-108.7307,81.79,22,0,6.11
213,Bonthe,SL,2021-06-13 16:57:42,7.5264,-12.505,84.16,74,100,8.77
214,Hamilton,US,2021-06-13 16:56:44,39.1834,-84.5333,90.0,63,36,1.99
215,Mitu,CO,2021-06-13 16:53:25,1.1983,-70.1733,77.77,93,87,2.53
